place_id,name,types,formatted_address,rating,user_ratings_total,geometry,website,formatted_phone_number,price_level,delivery,dine_in,reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,opening_hours
ChIJO5TZRBnafkcR6CgGBoQEq2s,Pizzeria Mister Tambourine Man,"['meal_delivery', 'food', 'restaurant', 'establishment', 'point_of_interest']","Via Montà, 86/3, 35100 Padova PD, Italy",3.8,231.0,"{'location': {'lat': 45.4245258, 'lng': 11.8520522}, 'viewport': {'northeast': {'lat': 45.4258456302915, 'lng': 11.8533701302915}, 'southwest': {'lat': 45.42314766970851, 'lng': 11.8506721697085}}}",,049 890 0400,,True,True,,,,,,,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '2230'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1800'}}], 'weekday_text': ['Monday: 6:00\u2009–\u200910:30\u202fPM', 'Tuesday: 6:00\u2009–\u200910:30\u202fPM', 'Wednesday: 6:00\u2009–\u200910:30\u202fPM', 'Thursday: 6:00\u2009–\u200910:30\u202fPM', 'Friday: 6:00\u2009–\u200910:30\u202fPM', 'Saturday: 6:00\u2009–\u200910:30\u202fPM', 'Sunday: 6:00\u2009–\u200910:30\u202fPM']}"
ChIJjQsPbBnafkcRrgTNIgVSN70,La Pizzeria Maxim,"['food', 'restaurant', 'establishment', 'point_of_interest']","Via Montà, 113, 35136 Padova PD, Italy",4.5,897.0,"{'location': {'lat': 45.4236759, 'lng': 11.8530543}, 'viewport': {'northeast': {'lat': 45.42509933029149, 'lng': 11.8544779802915}, 'southwest': {'lat': 45.4224013697085, 'lng': 11.8517800197085}}}",,049 713148,2.0,False,True,True,False,True,True,True,True,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1915'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1915'}}, {'close': {'day': 3, 'time': '1345'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1915'}}, {'close': {'day': 4, 'time': '1345'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1915'}}, {'close': {'day': 5, 'time': '1330'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1915'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1915'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 7:15\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u20091:45\u202fPM, 7:15\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u20091:45\u202fPM, 7:15\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u20091:30\u202fPM, 7:15\u2009–\u200910:30\u202fPM', 'Saturday: 7:15\u2009–\u200911:00\u202fPM', 'Sunday: 7:15\u2009–\u200910:30\u202fPM']}"
ChIJYz3noBnafkcRjsTuGftkEd4,Sir Francis Drake Pub Brewery,"['establishment', 'bar', 'restaurant', 'food', 'point_of_interest']","Via Montà, 101, 35100 Padova PD, Italy",4.5,1067.0,"{'location': {'lat': 45.4232038, 'lng': 11.8539934}, 'viewport': {'northeast': {'lat': 45.4247113802915, 'lng': 11.8551240302915}, 'southwest': {'lat': 45.42201341970851, 'lng': 11.8524260697085}}}",https://sirfrancisdrakepub.com/,049 714446,2.0,False,True,True,False,False,True,True,True,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1900'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1900'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1900'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1900'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1900'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 7:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 7:00\u202fPM\u2009–\u20092:00\u202fAM']}"
ChIJrcD1rDnafkcR-LBetpeYpys,Pizzasporto Al Posto Giusto,"['food', 'meal_takeaway', 'establishment', 'point_of_interest', 'restaurant']","Al Posto Giusto, Via Montà, 79/A, 35138 Padova PD, Italy",4.3,118.0,"{'location': {'lat': 45.4226268, 'lng': 11.8551915}, 'viewport': {'northeast': {'lat': 45.4240240302915, 'lng': 11.8565945802915}, 'southwest': {'lat': 45.42132606970851, 'lng': 11.8538966197085}}}",,320 146 6600,,True,,True,False,,,,,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1800'}}], 'weekday_text': ['Monday: 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 6:00\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u2009–\u200910:00\u202fPM']}"
ChIJyzXVtVzbfkcRCwDzudDB3Ps,HAZ pizza e cucina,"['food', 'restaurant', 'point_of_interest', 'establishment']","Via Montà, 49, 35138 Padova PD, Italy",4.5,538.0,"{'location': {'lat': 45.421051, 'lng': 11.8573417}, 'viewport': {'northeast': {'lat': 45.4224383802915, 'lng': 11.8586069802915}, 'southwest': {'lat': 45.4197404197085, 'lng': 11.85590901970849}}}",https://haz-pizza-e-cucina.eatbu.com/?lang=it,329 219 6258,1.0,True,True,True,,True,True,True,True,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1830'}}, {'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1145'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1830'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1145'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1145'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1845'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1145'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1845'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1145'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1845'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '1145'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1830'}}], 'weekday_text': ['Monday: 11:45\u202fAM\u2009–\u20092:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Tuesday: 11:45\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 11:45\u202fAM\u2009–\u20092:00\u202fPM, 6:45\u2009–\u200911:00\u202fPM', 'Thursday: 11:45\u202fAM\u2009–\u20092:00\u202fPM, 6:45\u2009–\u200911:00\u202fPM', 'Friday: 11:45\u202fAM\u2009–\u20092:00\u202fPM, 6:45\u2009–\u200911:00\u202fPM', 'Saturday: 11:45\u202fAM\u2009–\u20092:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Sunday: 6:30\u2009–\u200911:00\u202fPM']}"
ChIJLVttLADbfkcReZAAHFBPM5o,Ristorante DOZO,"['food', 'point_of_interest', 'establishment', 'restaurant']","Via Montà, 49, 35138 Padova PD, Italy",4.7,78.0,"{'location': {'lat': 45.4213013, 'lng': 11.8578207}, 'viewport': {'northeast': {'lat': 45.4226697802915, 'lng': 11.8591304302915}, 'southwest': {'lat': 45.4199718197085, 'lng': 11.8564324697085}}}",http://dozoyakinikubbq.com/,331 398 2150,,False,True,True,False,True,True,True,True,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 0, 'time': '2330'}, 'open': {'day': 0, 'time': '1900'}}, {'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1900'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1900'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1900'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1900'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '1200'}}, {'close': {'day': 6, 'time': '2330'}, 'open': {'day': 6, 'time': '1900'}}], 'weekday_text': ['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: Closed', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM', 'Sunday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:30\u202fPM']}"
ChIJl3vTPDzafkcRAyAafr-JZP0,Top Fast Food Srl,"['food', 'establishment', 'restaurant', 'point_of_interest']","Via Giuseppe Cesare Abba, 44, 35138 Padova PD, Italy",3.1,7.0,"{'location': {'lat': 45.4160181, 'lng': 11.859612}, 'viewport': {'northeast': {'lat': 45.41733368029149, 'lng': 11.8609655802915}, 'southwest': {'lat': 45.41463571970849, 'lng': 11.8582676197085}}}",,049 871 6795,,,True,,,,,,,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20094:00\u202fPM']}"
ChIJQ9dn_GvafkcR4J9hBMPdoyk,Tamoil,"['pharmacy', 'food', 'store', 'health', 'restaurant', 'establishment', 'gas_station', 'point_of_interest', 'bar']","Via Annibale da Bassano, 48, 35135 Padova PD, Italy",3.8,38.0,"{'location': {'lat': 45.422028, 'lng': 11.874584}, 'viewport': {'northeast': {'lat': 45.42321088029151, 'lng': 11.8760083802915}, 'southwest': {'lat': 45.42051291970851, 'lng': 11.8733104197085}}}",https://www.tamoil.it/,800 113 330,,,True,,,,,,,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}"
ChIJCUXJ72rafkcR-n9YUSo-9n8,Qui Ristorante,"['point_of_interest', 'restaurant', 'establishment', 'food']","Cavalcavia Dalmazia, 35138 Padova PD, Italy",4.3,20.0,"{'location': {'lat': 45.4198718, 'lng': 11.8702238}, 'viewport': {'northeast': {'lat': 45.4209733302915, 'lng': 11.8715184802915}, 'southwest': {'lat': 45.4182753697085, 'lng': 11.8688205197085}}}",,,,False,True,True,,True,,True,True,"{'open_now': True, 'periods': [{'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '0000'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Open 24 hours', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']}"
ChIJ2cAMchzbfkcRQ1IHPKq7ZbQ,McDonald's Padova Sarpi,"['establishment', 'food', 'point_of_interest', 'restaurant']","Via fra' Paolo Sarpi, 78, 35138 Padova PD, Italy",3.8,923.0,"{'location': {'lat': 45.41893, 'lng': 11.8669624}, 'viewport': {'northeast': {'lat': 45.4201897302915, 'lng': 11.86852738029151}, 'southwest': {'lat': 45.4174917697085, 'lng': 11.8658294197085}}}",https://www.mcdonalds.it/,049 541 5325,1.0,True,True,,True,True,True,,,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 6, 'time': '0400'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 0, 'time': '0400'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fAM']}"
ChIJVQpeTMjbfkcRO-0mN8yTnUo,PAPA SWAGGER - Nigerian Restaurant,"['establishment', 'point_of_interest', 'food', 'restaurant']","Via Annibale da Bassano, 25, 35135 Padova PD, Italy",4.0,12.0,"{'location': {'lat': 45.42059159999999, 'lng': 11.8756038}, 'viewport': {'northeast': {'lat': 45.4219845302915, 'lng': 11.8770220302915}, 'southwest': {'lat': 45.4192865697085, 'lng': 11.8743240697085}}}",,350 970 7024,,,True,True,,True,True,True,,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2330'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2330'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2330'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2330'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2330'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2330'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2330'}, 'open': {'day': 6, 'time': '1030'}}], 'weekday_text': ['Monday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u200911:30\u202fPM']}"
ChIJYxZwiT_afkcRA2DC8Zk_0wU,Pizza al Taglio da Beppe,"['point_of_interest', 'restaurant', 'food', 'meal_takeaway', 'establishment']","Via Beato Pellegrino, 200, 35138 Padova PD, Italy",4.4,213.0,"{'location': {'lat': 45.4170697, 'lng': 11.8665151}, 'viewport': {'northeast': {'lat': 45.4185399302915, 'lng': 11.8681230302915}, 'southwest': {'lat': 45.4158419697085, 'lng': 11.8654250697085}}}",,320 631 4202,1.0,,True,,False,,,True,,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1800'}}], 'weekday_text': ['Monday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: Open 24 hours', 'Wednesday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u20092:00\u202fAM']}"
ChIJ4_lW527afkcRRPJDmh-2smk,Giuly Sajonara,"['food', 'restaurant', 'point_of_interest', 'establishment']","Via Buonarroti Michelangelo, 68, 35135 Padova PD, Italy",4.2,219.0,"{'location': {'lat': 45.4234705, 'lng': 11.8782627}, 'viewport': {'northeast': {'lat': 45.4248443302915, 'lng': 11.8796037802915}, 'southwest': {'lat': 45.4221463697085, 'lng': 11.8769058197085}}}",,049 610420,2.0,True,True,True,,True,True,True,True,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}], 'weekday_text': ['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']}"
ChIJGz0bWm7afkcRuXfLmdh88-U,Pizzeria Sotto Casa,"['food', 'restaurant', 'cafe', 'point_of_interest', 'establishment', 'meal_delivery', 'meal_takeaway', 'store']","Via Michelangelo Buonarroti, 121, 35134 Padova PD, Italy",4.1,884.0,"{'location': {'lat': 45.4247458, 'lng': 11.8781008}, 'viewport': {'northeast': {'lat': 45.4260763302915, 'lng': 11.8796122802915}, 'southwest': {'lat': 45.4233783697085, 'lng': 11.8769143197085}}}",https://www.facebook.com/pages/Pizzeria-Sotto-casa/1418930998347226?ref_type=bookmark,380 905 4432,1.0,True,True,,,,,,,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}], 'weekday_text': ['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']}"
ChIJU-d5HADbfkcRhGvHxlidsno,Festa della comunità SS Trinità,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Raffaello Sanzio, 11A, 35135 Padova PD, Italy",5.0,1.0,"{'location': {'lat': 45.4233796, 'lng': 11.8770797}, 'viewport': {'northeast': {'lat': 45.4247645302915, 'lng': 11.8785391802915}, 'southwest': {'lat': 45.4220665697085, 'lng': 11.8758412197085}}}",,,,,True,,,,,True,True,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1900'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1900'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1900'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1900'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1900'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1900'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1900'}}], 'weekday_text': ['Monday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 7:00\u202fPM\u2009–\u200912:00\u202fAM']}"
ChIJo6V95G7afkcRyOd_XWFaN54,Gastronomia Buonarroti,"['restaurant', 'establishment', 'point_of_interest', 'meal_takeaway', 'food']","Via Michelangelo Buonarroti, 78, 35135 Padova PD, Italy",4.6,62.0,"{'location': {'lat': 45.4237109, 'lng': 11.8783315}, 'viewport': {'northeast': {'lat': 45.4250642302915, 'lng': 11.8796355802915}, 'southwest': {'lat': 45.4223662697085, 'lng': 11.8769376197085}}}",,049 610457,,True,,,False,True,,False,,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1400'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1730'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fPM']}"
ChIJ5YWUOW7afkcRSBsdh4J1SYI,Pizzeria Ryan,"['point_of_interest', 'restaurant', 'meal_takeaway', 'food', 'establishment']","Via Michelangelo Buonarroti, 128, 35134 Padova PD, Italy",4.6,194.0,"{'location': {'lat': 45.4258124, 'lng': 11.8788316}, 'viewport': {'northeast': {'lat': 45.4271723302915, 'lng': 11.8801008802915}, 'southwest': {'lat': 45.42447436970851, 'lng': 11.8774029197085}}}",http://www.pizzeriaryanpadova.it/,320 803 5346,,True,True,True,False,,True,,,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1805'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1805'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1805'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1805'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1805'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1805'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1805'}}], 'weekday_text': ['Monday: 6:05\u2009–\u200911:00\u202fPM', 'Tuesday: 6:05\u2009–\u200911:00\u202fPM', 'Wednesday: 6:05\u2009–\u200911:00\u202fPM', 'Thursday: 6:05\u2009–\u200911:00\u202fPM', 'Friday: 6:05\u2009–\u200911:00\u202fPM', 'Saturday: 6:05\u2009–\u200911:00\u202fPM', 'Sunday: 6:05\u2009–\u200911:00\u202fPM']}"
